Year	Month	Day	Pandoh_inflow_cfs
2014	3	19	6440
2014	3	20	3988
2014	3	21	3341
2014	3	22	3623
2014	3	23	3062
2014	3	24	1849
2014	3	25	4047
2014	3	26	4816
2014	3	27	4127
2014	3	28	4317
2014	3	29	5869
2014	3	30	5477
2014	3	31	4188
2014	4	1	4143
2014	4	2	4455
2014	4	3	4556
2014	4	4	4262
2014	4	5	4070
2014	4	6	4283
2014	4	7	4722
2014	4	8	5656
2014	4	9	5531
2014	4	10	5084
2014	4	11	4335
2014	4	12	4629
2014	4	13	4561
2014	4	14	4459
2014	4	15	3994
2014	4	16	3875
2014	4	17	4417
2014	4	18	4015
2014	4	19	3600
2014	4	20	5410
2014	4	21	4626
2014	4	22	4501
2014	4	23	4563
2014	4	24	4716
2014	4	25	5224
2014	4	26	5599
2014	4	27	5324
2014	4	28	5627
2014	4	29	6294
2014	4	30	7403
2014	5	1	8377
2014	5	2	8610
2014	5	3	8230
2014	5	4	8190
2014	5	5	8946
2014	5	6	8999
2014	5	7	8830
2014	5	8	8183
2014	5	9	8937
2014	5	10	9924
2014	5	11	8374
2014	5	12	8569
2014	5	13	8343
2014	5	14	9910
2014	5	15	7906
2014	5	16	6782
2014	5	17	6100
2014	5	18	6393
2014	5	19	5858
2014	5	20	6461
2014	5	21	7043
2014	5	22	7302
2014	5	23	6519
2014	5	24	8044
2014	5	25	8163
2014	5	26	7004
2014	5	27	7142
2014	5	28	7290
2014	5	29	8044
2014	5	30	9399
2014	5	31	11035
2014	6	1	9101
2014	6	2	8925
2014	6	3	8033
2014	6	4	8346
2014	6	5	9869
2014	6	6	12150
2014	6	7	14400
2014	6	8	14231
2014	6	9	14509
2014	6	10	13008
2014	6	11	13341
2014	6	12	12639
2014	6	13	11240
2014	6	14	12525
2014	6	15	13496
2014	6	16	17226
2014	6	17	18985
2014	6	18	21047
2014	6	19	22197
2014	6	20	19930
2014	6	21	21413
2014	6	22	21666
2014	6	23	16778
2014	6	24	13290
2014	6	25	11528
2014	6	26	11529
2014	6	27	11530
2014	6	28	11531
2014	6	29	11532
2014	6	30	11533
2014	7	1	17198
2014	7	2	18829
2014	7	3	21182
2014	7	4	19506
2014	7	5	17670
2014	7	6	17048
2014	7	7	19036
2014	7	8	18754
2014	7	9	19792
2014	7	10	19351
2014	7	11	20481
2014	7	12	20492
2014	7	13	22017
2014	7	14	22998
2014	7	15	21856
2014	7	16	21922
2014	7	17	31842
2014	7	18	24211
2014	7	19	23726
2014	7	20	34223
2014	7	21	24003
2014	7	22	22773
2014	7	23	18860
2014	7	24	20085
2014	7	25	24692
2014	7	26	26547
2014	7	27	29399
2014	7	28	35818
2014	7	29	30791
2014	7	30	34439
2014	7	31	28994
2014	8	1	30239
2014	8	2	27130
2014	8	3	24056
2014	8	4	23307
2014	8	5	22102
2014	8	6	22801
2014	8	7	20864
2014	8	8	19676
2014	8	9	24422
2014	8	10	21111
2014	8	11	20075
2014	8	12	18789
2014	8	13	18411
2014	8	14	19714
2014	8	15	24554
2014	8	16	30257
2014	8	17	27430
2014	8	18	18545
2014	8	19	16151
2014	8	20	16790
2014	8	21	15846
2014	8	22	14884
2014	8	23	14161
2014	8	24	13242
2014	8	25	12331
2014	8	26	11402
2014	8	27	11249
2014	8	28	11425
2014	8	29	10875
2014	8	30	8612
2014	8	31	7940
2014	9	1	7780
2014	9	2	8479
2014	9	3	8752
2014	9	4	10805
2014	9	5	10274
2014	9	6	15126
2014	9	7	20282
2014	9	8	13552
2014	9	9	12053
2014	9	10	12836
2014	9	11	9870
2014	9	12	9079
2014	9	13	9426
2014	9	14	9041
2014	9	15	8090
2014	9	16	6917
2014	9	17	7129
2014	9	18	6901
2014	9	19	7507
2014	9	20	7433
2014	9	21	7434
2014	9	22	6784
2014	9	23	7089
2014	9	24	5938
2014	9	25	6336
2014	9	26	5636
2014	9	27	5329
2014	9	28	4984
2014	9	29	5084
2014	9	30	5625
2014	10	1	4975
2014	10	2	4847
2014	10	3	5084
2014	10	4	5186
2014	10	5	5552
